,#Rank,University,Town
736,737,The Neotia University,Sarisha ...
737,738,Diamond Harbour Women's University,Sarisha
738,739,Seacom Skills University,Bolpur
739,740,Bhatkhande Sanskriti Vishwavidyalaya,Lucknow
740,741,The Sanskrit College and University,Kolkata
741,742,Kamdhenu University,Gandhinagar
742,743,Sardarkrushinagar Dantiwada Agricultural University,Palanpur
743,744,Jagadguru Ramanandacharya Rajasthan Sanskrit University,Jaipur
744,745,"Mahatma Gandhi University, Meghalaya",Khanapara
745,746,RKDF University,Bhopal
746,747,Sampurnanand Sanskrit Vishvavidyalaya,Varanasi
747,748,GIET University,Gunupur
748,749,Mohammad Ali Jauhar University,Rampur
749,750,Era University,Lucknow
750,751,G.L.S. University,Ahmedabad
751,752,Indira Kala Sangeet Vishwavidyalaya,Khairagarh
752,753,Spicer Adventist University,Pune
753,754,Usha Martin University,Ranchi
754,755,"University of Agricultural Sciences, Raichur",Raichur
755,756,"Pacific University, India",Udaipur
756,757,Himalayan University,Itanagar
757,758,Nava Nalanda Mahavihara,Bargaon
758,759,Madhyanchal Professional University,Bhopal
759,760,Sharnbasva University,Gulbarga
760,761,Alakh Prakash Goyal Shimla University,Shimla
761,762,"ICFAI University, Jharkhand",Ranchi
762,763,Bhagwant University,Ajmer
763,764,Atmiya University,Rajkot
764,765,Jodhpur National University,Jodhpur
765,766,Symbiosis University of Applied Sciences,Indore
